facility_id,measure_id,measure_name,start_date,end_date,score_numeric,score_raw,score_available,sample_size,footnote
010033,OP_23,Head CT results,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010034,EDV,Emergency department volume,2024-01-01,2024-12-31,,low,true,,
010034,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,110.0,110,true,503,
010034,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,108.0,108,true,484,
010034,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,136.0,136,true,12,
010034,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010034,OP_22,Left before being seen,2024-01-01,2024-12-31,,2,true,7495,
010034,OP_23,Head CT results,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010035,EDV,Emergency department volume,2024-01-01,2024-12-31,,high,true,,
010035,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,171.0,171,true,440,
010035,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,158.0,158,true,407,
010035,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,929.0,929,true,22,
010035,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,395.0,395,true,12,
010035,OP_22,Left before being seen,2024-01-01,2024-12-31,,1,true,49612,
010035,OP_23,Head CT results,2024-07-01,2025-06-30,,93,true,29,
010036,EDV,Emergency department volume,2024-01-01,2024-12-31,,low,true,,
010036,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,168.0,168,true,422,
010036,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,158.0,158,true,390,
010036,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,314.0,314,true,12,
010036,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,299.0,299,true,21,
010036,OP_22,Left before being seen,2024-01-01,2024-12-31,,3,true,19363,
010036,OP_23,Head CT results,2024-07-01,2025-06-30,,60,true,15,
010039,EDV,Emergency department volume,2024-01-01,2024-12-31,,very high,true,,
010039,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,258.0,258,true,418,
010039,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,252.0,252,true,402,
010039,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,299.0,299,true,15,
010039,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010039,OP_22,Left before being seen,2024-01-01,2024-12-31,,1,true,174551,
010039,OP_23,Head CT results,2024-07-01,2025-06-30,,54,true,28,
010040,EDV,Emergency department volume,2024-01-01,2024-12-31,,medium,true,,
010040,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,214.0,214,true,428,
010040,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,202.0,202,true,399,
010040,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,318.0,318,true,24,
010040,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010040,OP_22,Left before being seen,2024-01-01,2024-12-31,,2,true,32394,
010040,OP_23,Head CT results,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010044,EDV,Emergency department volume,2024-01-01,2024-12-31,,low,true,,
010044,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,103.0,103,true,414,
